🗂️ Rapport de cohérence - 2025-05-01T19:47:46.130Z

[686] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-314-686 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[687] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-314-687 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[689] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-315-689 | Slug: lait-infantile-bio-everymilk-2-de-6-mois-à-1-an---lot-de-6-boît- | Name: Lait Infantile Bio Everymilk 2 De 6 Mois À 1 An - Lot De 6 Boît 
[11598] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-10451-11598 | Slug: biscuits-tablette-chocolat-noir-carrefour-classic' | Name: Biscuits tablette chocolat noir CARREFOUR CLASSIC'
[17910] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-16734-17910 | Slug: pâtes-mini-tortiglioni-piccolini-barilla | Name: Pâtes mini tortiglioni Piccolini BARILLA
[1] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-1-1 | Slug: lait-bébé-en-poudre-de-1-an-à-3-ans-optipro-guigoz | Name: Lait bébé en Poudre de 1 an à 3 ans Optipro GUIGOZ
[690] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-315-690 | Slug: lait-infantile-bio-everymilk-2-de-6-mois-à-1-an---lot-de-6-boît- | Name: Lait Infantile Bio Everymilk 2 De 6 Mois À 1 An - Lot De 6 Boît 
[1577] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-940-1577 | Slug: chicco---chaise-haute-polly-2-start-monkey | Name: Chicco - Chaise Haute Polly 2 Start Monkey
[691] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-315-691 | Slug: lait-infantile-bio-everymilk-2-de-6-mois-à-1-an---lot-de-6-boît- | Name: Lait Infantile Bio Everymilk 2 De 6 Mois À 1 An - Lot De 6 Boît 
[692] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-316-692 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[693] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-316-693 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[694] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-316-694 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[726] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-325-726 | Slug: lait-france-bebe-bio-1-boite-de-400g- | Name: Lait France Bebe Bio 1 Boite De 400g 
[727] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-326-727 | Slug: biscuits-amaretti-moelleux-avec-olives-taggiasca-confites-200-gr- | Name: Biscuits Amaretti Moelleux Avec Olives Taggiasca Confites 200 Gr 
[728] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-326-728 | Slug: biscuits-amaretti-moelleux-avec-olives-taggiasca-confites-200-gr- | Name: Biscuits Amaretti Moelleux Avec Olives Taggiasca Confites 200 Gr 
[729] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-326-729 | Slug: biscuits-amaretti-moelleux-avec-olives-taggiasca-confites-200-gr- | Name: Biscuits Amaretti Moelleux Avec Olives Taggiasca Confites 200 Gr 
[730] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-327-730 | Slug: gallia-calisma-1-lait-en-poudre-pour-bébé---3-x-830-g---de-0-a-6-mois- | Name: Gallia Calisma 1 Lait En Poudre Pour Bébé - 3 X 830 G - De 0 A 6 Mois 
[695] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-316-695 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[697] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-317-697 | Slug: lait-infantile-bio-everymilk-2-de-6-mois-à-1-an---lot-de-3-boît- | Name: Lait Infantile Bio Everymilk 2 De 6 Mois À 1 An - Lot De 3 Boît 
[698] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-317-698 | Slug: lait-infantile-bio-everymilk-2-de-6-mois-à-1-an---lot-de-3-boît- | Name: Lait Infantile Bio Everymilk 2 De 6 Mois À 1 An - Lot De 3 Boît 
[699] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-317-699 | Slug: lait-infantile-bio-everymilk-2-de-6-mois-à-1-an---lot-de-3-boît- | Name: Lait Infantile Bio Everymilk 2 De 6 Mois À 1 An - Lot De 3 Boît 
[701] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-318-701 | Slug: lait-infantile-bio-everymilk-2-de-6-mois-à-1-an---1-boîte- | Name: Lait Infantile Bio Everymilk 2 De 6 Mois À 1 An - 1 Boîte 
[1402] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-765-1402 | Slug: biberon-bébé-rose-360-ml-disney | Name: Biberon bébé rose 360 mL DISNEY
[702] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-318-702 | Slug: lait-infantile-bio-everymilk-2-de-6-mois-à-1-an---1-boîte- | Name: Lait Infantile Bio Everymilk 2 De 6 Mois À 1 An - 1 Boîte 
[703] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-318-703 | Slug: lait-infantile-bio-everymilk-2-de-6-mois-à-1-an---1-boîte- | Name: Lait Infantile Bio Everymilk 2 De 6 Mois À 1 An - 1 Boîte 
[705] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-319-705 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[1826] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-1189-1826 | Slug: thermobaby-edgar-rehausseur&marche-pied-gris-charme | Name: Thermobaby Edgar Rehausseur&marche Pied Gris Charme
[1827] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-1190-1827 | Slug: rehausseur-de-chaise-2en1-évolutif | Name: Rehausseur De Chaise 2en1 Évolutif
[706] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-319-706 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[1579] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-942-1579 | Slug: chicco---rehausseur-pocket-snack-sage | Name: Chicco - Rehausseur Pocket Snack Sage
[11599] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-10452-11599 | Slug: biscuits-fourrés-au-chocolat-maxi-gourmand-prince-lu | Name: Biscuits fourrés au chocolat Maxi Gourmand Prince LU
[11600] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-10453-11600 | Slug: biscuits-noisettes-et-cacao-nutella-&-go | Name: Biscuits Noisettes et Cacao NUTELLA & GO
[1403] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-766-1403 | Slug: biberon-physio-beige-s | Name: Biberon physio Beige S
[1404] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-767-1404 | Slug: biberon-bébé-blanc-240ml-disney | Name: Biberon bébé blanc 240mL DISNEY
[1405] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-768-1405 | Slug: biberon-bébé-rouge-240ml-disney | Name: Biberon bébé rouge 240mL DISNEY
[1406] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-769-1406 | Slug: biberon-1er-âge-col-large-250ml-nuk | Name: Biberon 1er âge col large 250mL NUK
[1509] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-872-1509 | Slug: coussin-d'allaitement-babymoov-doomoo-buddy-cloudy | Name: Coussin D'allaitement Babymoov Doomoo Buddy Cloudy
[707] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-319-707 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[708] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-320-708 | Slug: céréales-bébé-dès-8-mois,-cacao-babybio- | Name: Céréales bébé dès 8 mois, cacao BABYBIO 
[709] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-320-709 | Slug: céréales-bébé-dès-8-mois,-cacao-babybio- | Name: Céréales bébé dès 8 mois, cacao BABYBIO 
[710] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-321-710 | Slug: biscuits-à-la-manne-et-orange-210-gr- | Name: Biscuits À La Manne Et Orange 210 Gr 
[711] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-321-711 | Slug: biscuits-à-la-manne-et-orange-210-gr- | Name: Biscuits À La Manne Et Orange 210 Gr 
[712] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-321-712 | Slug: biscuits-à-la-manne-et-orange-210-gr- | Name: Biscuits À La Manne Et Orange 210 Gr 
[713] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-321-713 | Slug: biscuits-à-la-manne-et-orange-210-gr- | Name: Biscuits À La Manne Et Orange 210 Gr 
[714] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-322-714 | Slug: boîte-en-métal-aretusa-avec-cantucci-biscuits-moelleux-siciliens-aux-amandes-et-au-chocolat-de-modica-igp-250-gr- | Name: Boîte En Métal Aretusa Avec Cantucci Biscuits Moelleux Siciliens Aux Amandes Et Au Chocolat De Modica Igp 250 Gr 
[715] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-322-715 | Slug: boîte-en-métal-aretusa-avec-cantucci-biscuits-moelleux-siciliens-aux-amandes-et-au-chocolat-de-modica-igp-250-gr- | Name: Boîte En Métal Aretusa Avec Cantucci Biscuits Moelleux Siciliens Aux Amandes Et Au Chocolat De Modica Igp 250 Gr 
